,date,close,open,high,low
265,2023-09-18,13710.24,13669.96,13751.28,13663.46
266,2023-09-15,13708.33,13889.2,13895.75,13684.24
267,2023-09-14,13926.05,13889.76,13957.57,13810.66
268,2023-09-13,13813.59,13822.32,13868.57,13733.82
269,2023-09-12,13773.61,13858.94,13913.6,13763.69
270,2023-09-11,13917.89,13884.03,13937.47,13805.13
271,2023-09-08,13761.53,13754.71,13843.37,13733.18
272,2023-09-07,13748.83,13675.11,13774.63,13642.47
273,2023-09-06,13872.47,13988.81,14001.95,13802.42
274,2023-09-05,14020.95,13994.54,14060.85,13945.65
275,2023-09-01,14031.81,14129.96,14149.62,13982.42
276,2023-08-31,14034.97,14041.54,14114.67,14010.48
277,2023-08-30,14019.31,13961.77,14050.82,13924.2
278,2023-08-29,13943.76,13687.23,13959.81,13677.06
279,2023-08-28,13705.13,13695.36,13735.98,13626.64
280,2023-08-25,13590.65,13514.37,13633.42,13376.35
281,2023-08-24,13463.97,13834.31,13834.69,13462.84
282,2023-08-23,13721.03,13532.43,13757.0,13532.43
283,2023-08-22,13505.87,13593.95,13598.77,13484.38
284,2023-08-21,13497.59,13347.26,13516.86,13325.59
285,2023-08-18,13290.78,13190.02,13335.87,13161.76
286,2023-08-17,13316.93,13527.3,13535.09,13303.45
287,2023-08-16,13474.63,13593.17,13644.32,13473.03
288,2023-08-15,13631.05,13760.48,13774.98,13611.93
289,2023-08-14,13788.33,13599.0,13789.16,13582.49
290,2023-08-11,13644.85,13653.46,13720.33,13609.98
291,2023-08-10,13737.99,13818.25,13947.16,13686.51
292,2023-08-09,13722.02,13897.61,13898.54,13698.39
293,2023-08-08,13884.32,13875.45,13899.74,13769.34
294,2023-08-07,13994.4,13972.45,13997.15,13864.92
295,2023-08-04,13909.24,14105.16,14119.22,13897.93
296,2023-08-03,13959.72,13899.76,14032.28,13881.35
297,2023-08-02,13973.45,14132.73,14133.85,13914.81
298,2023-08-01,14283.91,14274.93,14309.21,14215.64
